Next,ProductId,Year,Month,Units,Avg,Count,Max,Min,Prev
48.0000,1,2017,9,88.0000,6.285714,14,15.0000,1.0000,0.0000
85.0000,1,2017,10,48.0000,9.600000,5,20.0000,1.0000,88.0000
13.0000,1,2017,11,85.0000,8.500000,10,20.0000,1.0000,48.0000
22.0000,1,2017,12,13.0000,3.250000,4,6.0000,1.0000,85.0000
12.0000,1,2018,1,22.0000,3.666666,6,8.0000,1.0000,13.0000
56.0000,1,2018,2,12.0000,12.000000,1,12.0000,12.0000,22.0000
19.0000,1,2018,3,56.0000,8.000000,7,15.0000,3.0000,12.0000
10.0000,1,2018,4,19.0000,4.750000,4,10.0000,2.0000,56.0000
13.0000,1,2018,5,10.0000,2.500000,4,6.0000,1.0000,19.0000
47.0000,1,2018,6,13.0000,6.500000,2,9.0000,4.0000,10.0000
34.0000,1,2018,7,47.0000,11.750000,4,30.0000,3.0000,13.0000
9.0000,1,2018,8,34.0000,11.333333,3,27.0000,1.0000,47.0000
0.0000,1,2018,9,9.0000,9.000000,1,9.0000,9.0000,34.0000
130.0000,2,2017,9,521.0000,20.038461,26,100.0000,1.0000,0.0000
152.0000,2,2017,10,130.0000,11.818181,11,45.0000,2.0000,521.0000
21.0000,2,2017,11,152.0000,12.666666,12,100.0000,1.0000,130.0000
65.0000,2,2017,12,21.0000,7.000000,3,14.0000,1.0000,152.0000
196.0000,2,2018,1,65.0000,32.500000,2,50.0000,15.0000,21.0000
90.0000,2,2018,2,196.0000,17.818181,11,100.0000,2.0000,65.0000
156.0000,2,2018,3,90.0000,11.250000,8,50.0000,1.0000,196.0000
159.0000,2,2018,4,156.0000,14.181818,11,60.0000,1.0000,90.0000
34.0000,2,2018,5,159.0000,17.666666,9,100.0000,2.0000,156.0000
61.0000,2,2018,6,34.0000,3.400000,10,15.0000,1.0000,159.0000
236.0000,2,2018,7,61.0000,8.714285,7,22.0000,1.0000,34.0000
27.0000,2,2018,8,236.0000,47.200000,5,100.0000,3.0000,61.0000
0.0000,2,2018,9,27.0000,9.000000,3,20.0000,1.0000,236.0000
4.0000,3,2017,11,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,3,2018,5,4.0000,4.000000,1,4.0000,4.0000,1.0000
0.0000,3,2018,8,1.0000,1.000000,1,1.0000,1.0000,4.0000
2.0000,4,2017,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,4,2018,3,2.0000,1.000000,2,1.0000,1.0000,1.0000
1.0000,4,2018,5,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,4,2018,6,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,4,2018,9,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,8,2018,5,2.0000,2.000000,1,2.0000,2.0000,0.0000
1.0000,9,2018,3,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,9,2018,4,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,9,2018,6,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,9,2018,7,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,9,2018,9,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,10,2017,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,10,2017,10,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,10,2017,11,1.0000,1.000000,1,1.0000,1.0000,1.0000
2.0000,10,2017,12,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,10,2018,1,2.0000,1.000000,2,1.0000,1.0000,1.0000
1.0000,10,2018,3,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,10,2018,4,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,10,2018,5,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,10,2018,9,1.0000,1.000000,1,1.0000,1.0000,1.0000
3.0000,11,2017,9,11.0000,1.100000,10,2.0000,1.0000,0.0000
4.0000,11,2017,10,3.0000,1.000000,3,1.0000,1.0000,11.0000
3.0000,11,2017,11,4.0000,1.000000,4,1.0000,1.0000,3.0000
3.0000,11,2017,12,3.0000,1.000000,3,1.0000,1.0000,4.0000
2.0000,11,2018,1,3.0000,1.000000,3,1.0000,1.0000,3.0000
2.0000,11,2018,3,2.0000,1.000000,2,1.0000,1.0000,3.0000
3.0000,11,2018,4,2.0000,1.000000,2,1.0000,1.0000,2.0000
1.0000,11,2018,5,3.0000,1.500000,2,2.0000,1.0000,2.0000
4.0000,11,2018,6,1.0000,1.000000,1,1.0000,1.0000,3.0000
6.0000,11,2018,7,4.0000,1.000000,4,1.0000,1.0000,1.0000
0.0000,11,2018,8,6.0000,1.200000,5,2.0000,1.0000,4.0000
0.0000,12,2018,2,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,13,2017,10,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,13,2018,4,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,13,2018,5,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,16,2017,9,2.0000,1.000000,2,1.0000,1.0000,0.0000
2.0000,16,2017,11,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,16,2018,1,2.0000,1.000000,2,1.0000,1.0000,1.0000
0.0000,16,2018,5,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,18,2018,5,1.0000,1.000000,1,1.0000,1.0000,0.0000
0.0000,18,2018,9,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,21,2017,11,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,21,2018,3,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,21,2018,6,1.0000,1.000000,1,1.0000,1.0000,1.0000
3.0000,22,2017,9,2.0000,1.000000,2,1.0000,1.0000,0.0000
2.0000,22,2017,10,3.0000,1.000000,3,1.0000,1.0000,2.0000
3.0000,22,2017,11,2.0000,1.000000,2,1.0000,1.0000,3.0000
2.0000,22,2018,1,3.0000,1.000000,3,1.0000,1.0000,2.0000
4.0000,22,2018,2,2.0000,1.000000,2,1.0000,1.0000,3.0000
3.0000,22,2018,3,4.0000,1.000000,4,1.0000,1.0000,2.0000
2.0000,22,2018,4,3.0000,1.500000,2,2.0000,1.0000,4.0000
2.0000,22,2018,7,2.0000,1.000000,2,1.0000,1.0000,3.0000
0.0000,22,2018,8,2.0000,1.000000,2,1.0000,1.0000,2.0000
1.0000,25,2017,9,2.0000,1.000000,2,1.0000,1.0000,0.0000
0.0000,25,2018,1,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,26,2017,9,3.0000,1.000000,3,1.0000,1.0000,0.0000
1.0000,26,2017,10,1.0000,1.000000,1,1.0000,1.0000,3.0000
1.0000,26,2018,5,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,26,2018,6,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,26,2018,8,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,26,2018,9,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,29,2018,8,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,30,2018,2,1.0000,1.000000,1,1.0000,1.0000,0.0000
0.0000,30,2018,5,1.0000,1.000000,1,1.0000,1.0000,1.0000
6.0000,31,2017,9,7.0000,1.000000,7,1.0000,1.0000,0.0000
1.0000,31,2017,10,6.0000,1.000000,6,1.0000,1.0000,7.0000
1.0000,31,2017,11,1.0000,1.000000,1,1.0000,1.0000,6.0000
1.0000,31,2018,1,1.0000,1.000000,1,1.0000,1.0000,1.0000
3.0000,31,2018,2,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,31,2018,3,3.0000,1.000000,3,1.0000,1.0000,1.0000
3.0000,31,2018,4,1.0000,1.000000,1,1.0000,1.0000,3.0000
1.0000,31,2018,5,3.0000,1.000000,3,1.0000,1.0000,1.0000
